Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Black Hill Swimming Pool,Chisholm Street,Ballarat,3350,VIC,-37.550121,143.870973,Swimming Pool,Ballarat,Grampians
Boort Swimming Pool,Lakeview Street,Boort,3537,VIC,-36.119605,143.721591,Swimming Pool,Loddon,Loddon-Mallee
Brennan Park Acquatic Centre,Cnr Houlahan Street,Bendigo,3550,VIC,-36.774105,144.299557,Swimming Pool,Greater Bendigo,Loddon-Mallee
Briar Hill Swimming Pool Centre,"Shop 5, 111 Mountain View Road",Briar Hill,3088,VIC,-37.709304,145.11944,Swimming Pool,"Nillumbik,Banyule",North and West Metropolitan Region
Broadford Swimming Centre,Hamilton Street,Broadford,3658,VIC,-37.205293,145.045241,Swimming Pool,Mitchell,Hume
Broadmeadows Swimming Centre,Goulburn Street,Broadmeadows,3047,VIC ,-37.684293,144.934967,Swimming Pool,Hume,North and West Metropolitan Region
Camberwell Swim School,2 Torrington Street,Canterbury,3126,VIC,-37.818438,145.060426,Swimming Pool,Boroondara (C),Eastern Metropolitan Region
Caulfield Swim Centre,Moira Avenue,Caulfield,3162,VIC,-37.89609,145.050812,Swimming Pool,Glen Eira,Southern Metro
Charlton Swimming Pool,Gordon Park,Charlton,3525,VIC,-36.251838,143.361307,Swimming Pool,Buloke,Loddon-Mallee
Chewton Swimming Pool,Chewton Memorial Park,Chewton,3451,VIC,-37.082781,144.255558,Swimming Pool,,
Cobden Swimming Pool,Victoria Street,Cobden,3266,VIC,-38.327098,143.077492,Swimming Pool,Corangamite,Barwon S/W
Cobram Memorial Swimming Pool,Punt Road,Cobram,3644,VIC,-35.918994,145.651681,Swimming Pool,Moira,Hume
Coburg Olympic Outdoor Pool,Murray Road,Coburg,3058,VIC,-37.73543,144.977681,Swimming Pool,Moreland,North and West Metropolitan Region
Cohuna Swimming Pool,Recreation Reserve,Cohuna,3568,VIC,-35.809472,144.222375,Swimming Pool,Gannawarra,Loddon-Mallee
Crib Point Heated Pool,Governor Road,Crib Point,3919,VIC,-38.35822,145.203336,Swimming Pool,Mornington Peninsula,Southern Metro
Croydon Memorial Pool,Cnr Springfield Avenue and Hewish Road,Croydon,3136,VIC,-37.79674,145.286895,Swimming Pool,Maroondah (C),Eastern Metropolitan Region
Daylesford Swimming Pool,Central Springs Road,Daylesford,3460,VIC,-37.343567,144.142547,Swimming Pool,Hepburn,Grampians
Diamond Creek Swimming Pool,1 Elizabeth Street,Diamond Creek,3089,VIC,-37.671872,145.155829,Swimming Pool,Nillumbik,North and West Metropolitan Region
Donald Swimming Pool,24 Campbell Street,Donald,3480,VIC,-36.372454,142.988142,Swimming Pool,Buloke,Loddon-Mallee
