Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Main Ridge Pony Club,Main Ridge Equestrian Ground,Main Ridge,3928,VIC,-38.380796,145.045034,Pony Club,Mornington Peninsula (S),Eastern Metropolitan Region
Maldon Pony Club,Lewis Road,Maldon,3463,VIC,-36.990498,144.11021,Pony Club,Mount Alexander (S); Loddon (S),Loddon-Mallee Region
Mallacoota Pony Club,Genoa Road,Mallacoota,3892,VIC,-37.549793,149.733534,Pony Club,East Gippsland (S),Gippsland Region
Mandurang South Pony Club,Mandurang South Recreation Reserve ,Mandurang,3551,VIC,-36.821025,144.294835,Pony Club,Greater Bendigo (C),Loddon-Mallee Region
Mansfield Pony Club,PO Box 355,Mansfield,3722,VIC,-37.053205,146.086476,Pony Club,Yarra Ranges (S); Mansfield (S),Hume Region
Maryborough & District Pony Club,Maryborough & District Horse and Pony Club Grounds,Maryborough,3465,VIC,-37.046538,143.736963,Pony Club,Central Goldfields (S),Loddon-Mallee Region
Melton District Pony Club,Melton Equestrian Park,Melton,3337,VIC,-37.719219,144.573347,Pony Club,Wyndham (C); Melton (S),North and West Metropolitan Region
Mentone Pony Club,204 Pillars Road,Bangholme,3175,VIC,-38.029827,145.156798,Pony Club,Greater Dandenong (C),Southern Metropolitan Region
Mildura - Alcheringa Pony Club,Sandilong Park,Mildura,3500,VIC,-34.203353,142.189856,Pony Club,Mildura (RC),Loddon-Mallee Region
Mirboo North Pony Club,Recreation Reserve,Mirboo North,3871,VIC,-38.401133,146.161389,Pony Club,South Gippsland (S),Gippsland Region
Moe Pony Club,Moe Equestrian Park,Moe,3825,VIC,-38.174755,146.262622,Pony Club,Latrobe (C); Baw Baw (S),Gippsland Region
Monash Pony Club,Drummies Bridge Reserve,Glen Waverley,3150,VIC,-37.875385,145.191058,Pony Club,Monash (C),Eastern Metropolitan Region
Monbulk Pony Club,Wards Road Reserve,Monbulk,3793,VIC,-37.879057,145.445198,Pony Club,Yarra Ranges (S),Eastern Metropolitan Region
Mooroolbark Pony Club,Hull Road,Mooroolbark,3138,VIC,-37.781608,145.325394,Pony Club,Yarra Ranges (S); Maroondah (C),Eastern Metropolitan Region
Mornington Peninsula Pony Club,Baxter Park,Baxter,3911,VIC,-38.196448,145.157567,Pony Club,Mornington Peninsula (S); Frankston (C),Southern Metropolitan Region
Morwell Horse and Pony Club,Toners Lane,Morwell,3840,VIC,-38.221527,146.381896,Pony Club,Latrobe (C),Gippsland Region
Mount Duneed Pony Club,Mount Duneed Recreation Reserve,Mount Duneed,3216,VIC,-38.240521,144.312903,Pony Club,Greater Geelong (C),Barwon South Western Region
Mount Evelyn Pony Club,Graeme Collings Reserve,Mount Evelyn,3796,VIC,-37.780617,145.404944,Pony Club,Yarra Ranges (S),Eastern Metropolitan Region
Mountain District Horse and Pony Club,Eastfield Park,Croydon,3136,VIC,-37.812051,145.277345,Pony Club,Maroondah (C),Eastern Metropolitan Region
Moyhu Pony Club,Oxley Reserve,Oxley,3678,VIC,-36.443343,146.365591,Pony Club,Wangaratta (RC),Hume Region
Myrtleford Pony Club,Myrtleford Recreation Reserve,Myrtleford,3737,VIC,-36.561678,146.726012,Pony Club,Alpine (S),Hume Region
Nathalia Pony Club,Barmah Racecourse Reserve,Barmah,3639,VIC,-36.017416,144.96142,Pony Club,Moira (S),Hume Region
Neangar Park Pony Club,Neangar Park Pony Club Grounds,Eaglehawk,3556,VIC,-36.713845,144.253384,Pony Club,Greater Bendigo (C),Loddon-Mallee Region
Nhill Pony Club,Nhill Showgrounds,Nhill,3418,VIC,-36.332472,141.649494,Pony Club,Hindmarsh (S),Grampians Region
North Eastern Horse and Pony Club,Corner Henderson and Banyule Roads,Viewbank,3084,VIC,-37.732758,145.091248,Pony Club,Banyule (C),North and West Metropolitan Region
Nunawading District Horse and Pony Club,Drummies Bridge Reserve,Glen Waverley,3150,VIC,-37.875385,145.191058,Pony Club,Monash (C),Eastern Metropolitan Region
Oaklands Pony Club,"'Sherwood', Oaklands Hunt Club",Greenvale,3059,VIC,-37.639938,144.881622,Pony Club,Hume (C),North and West Metropolitan Region
Orbost Pony Club,Newmerella Recreation Reserve ,Newmerella,3886,VIC,-37.735469,148.431889,Pony Club,East Gippsland (S),Gippsland Region
Pearcedale Pony Club,Callanans Lane,Pearcedale,3912,VIC,-38.21476,145.251417,Pony Club,Mornington Peninsula (S); Frankston (C); Casey (C),Southern Metropolitan Region
Portarlington Pony Club,Willis Street,Portarlington,3223,VIC,-38.119011,144.657204,Pony Club,Greater Geelong (C),Barwon South Western Region
Riddells Creek Pony Club,'Candlebark',Riddells Creek,3431,VIC,-37.457404,144.681091,Pony Club,Macedon Ranges (S),North and West Metropolitan Region; Loddon-Mallee
Ringwood Horse and Pony Club,Quambee Reserve,Ringwood,3134,VIC,-37.782423,145.245947,Pony Club,Manningham (C); Maroondah (C),Eastern Metropolitan Region
Rochester Pony Club,Rochester Recreation Reserve,Rochester,3561,VIC,-36.361873,144.699395,Pony Club,Campaspe (S),Loddon-Mallee Region
Rokewood Pony Club,Woady Yaloak Equestrian Centre,Smythesdale,3351,VIC,-37.642988,143.686088,Pony Club,Moyne (S); Ararat (RC); Golden Plains (S),Grampians Region; Barwon South Western Region
Rosebud and District Pony Club,Rosebud Avenue,Rosebud,3939,VIC,-38.372934,144.919199,Pony Club,Mornington Peninsula (S),Southern Metropolitan Region
Rosedale and District Pony Club,Rosedale Racing Recreation Reserve,Rosedale,3847,VIC,-38.154188,146.790121,Pony Club,Wellington (S),Gippsland Region
Sale Pony Club,Sale Show Grounds,Sale,3850,VIC,-38.089054,147.062782,Pony Club,Wellington (S),Gippsland Region
Seville Pony Club,Bell Road Reserve<br> (off Warburton Highway),Seville,3139,VIC,-37.776228,145.462088,Pony Club,Yarra Ranges (S),Eastern Metropolitan Region
