Name,Address,Suburb,Postcode,State,latitude,longitude,Business Category,LGA,Region
Sandringham Yacht Club,Jetty Road,Sandringham,3191,VIC,-37.945755,144.997501,Sailing/Boating Club,Bayside,Southern Metro
Somers Yacht Club,Alexandra Avenue,Somers,3927,VIC,-38.389165,145.158966,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Sorrento Sailing Couta Boat Club,3154 Point Nepean Road,Sorrento,3943,VIC,-38.343871,144.753622,Sailing/Boating Club,Mornington Peninsula,Southern Metro
South Gippsland Yacht Club,22 The Esplanade,Inverloch,3996,VIC,-38.634331,145.729344,Sailing/Boating Club,Bass Coast,Gippsland
St Leonards Yacht Club & Motor Squadron,Lower Bluff Road ,St Leonards,3223,VIC,-38.18725,144.712424,Sailing/Boating Club,Greater Geelong,Barwon S/W
Stawell Yacht Club,Lake Fyans,Pomonal,3381,VIC,-37.138509,142.622619,Sailing/Boating Club,,
Sugarloaf Sailing & Boating Club,Gate 11 Ridge Road,Christmas Hills,3775,VIC,-37.659693,145.289512,Sailing/Boating Club,,
Surf Coast Sailing Club,Point Roadknight Boatramp,Anglesea,3230,VIC,-38.408404,144.177458,Sailing/Boating Club,Surf Coast,Barwon S/W
Torquay Sailing Club,Fishermens Beach,Torquay,3228,VIC,-38.325777,144.329804,Sailing/Boating Club,Surf Coast,Barwon S/W
Waranga Boat Club,Tatura Road,Rushworth,3612,VIC,-36.581411,145.024105,Sailing/Boating Club,"Greater Shepparton , Campaspe","Loddon-Mallee, Hume"
Warneet Yacht Club,PO Box 315,Tooradin,3980,VIC,-38.214054,145.380463,Sailing/Boating Club,Casey,Southern Metro
Warrnambool Yacht Club Inc.,Warrnambool Breakwater,Warrnambool,3280,VIC,-38.382766,142.484499,Sailing/Boating Club,Warrnambool,Barwon S/W
Western Port Mariners Club,Western Port Marina,Hastings,3915,VIC,-38.307583,145.190201,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Westernport Yacht Club,Foreshore Road,Balnarring Beach,3926,VIC,-38.390705,145.12605,Sailing/Boating Club,,
Williamstown Sailing Club,PO Box 50,Williamstown,3016,VIC,-37.857292,144.897759,Sailing/Boating Club,Hobsons Bay,North and West Metropolitan Region
Yarrawonga Yacht Club,River Road,Yarrawonga,3730,VIC,-36.005615,146.018511,Sailing/Boating Club,Moira,Hume
Accessible Sailing Club of Victoria,C/-Yachting Victoria,Sandringham,3191,VIC,-37.949593,145.003738,"Disability,Sailing/Boating Club",Bayside,Southern Metro
Albert Park Yachting & Angling Club,Beaconsfield Parade,Albert Park,3206,VIC,-37.847902,144.948681,"Fishing Club,Recreation Group,Sailing/Boating Club",Port Phillip,Southern Metro
Mordialloc Boating & Angling Club,PO Box 5036,Mordialloc,3195,VIC,-38.006524,145.086334,"Fishing Club,Sailing/Boating Club",Kingston,Southern Metro
